,won,goals,shots,hits,pim,C,D,LW,RW,p_away,p_home
2930,True,5,25,12,4,4.0,7.0,4.0,5.0,1,0
2931,False,1,11,24,6,-5.0,-8.0,-5.0,-2.0,0,1
2932,True,4,29,29,16,1.0,2.0,2.0,0.0,1,0
2933,False,4,33,32,12,-1.0,-2.0,-1.0,-1.0,0,1
2934,False,1,15,30,21,-6.0,-8.0,-1.0,-5.0,1,0
2935,True,5,40,25,9,4.0,8.0,4.0,4.0,0,1
2936,False,1,25,28,11,-2.0,-6.0,-4.0,-3.0,1,0
2937,True,4,34,17,7,3.0,6.0,1.0,5.0,0,1
2938,True,6,39,32,7,3.0,6.0,1.0,5.0,1,0
2939,False,0,23,50,15,-3.0,-6.0,-4.0,-2.0,0,1
2940,False,3,26,53,23,0.0,-2.0,-3.0,0.0,1,0
2941,True,6,34,32,11,2.0,2.0,0.0,1.0,0,1
2942,True,4,29,29,16,1.0,2.0,4.0,-2.0,1,0
2943,False,2,23,23,20,0.0,-2.0,-2.0,-1.0,0,1
2944,True,4,31,30,8,3.0,6.0,2.0,2.0,1,0
2945,False,1,28,36,10,-4.0,-5.0,-4.0,-3.0,0,1
2946,True,4,20,18,15,0.0,2.0,2.0,1.0,1,0
2947,False,2,37,16,11,-1.0,-2.0,-2.0,-1.0,0,1
2948,False,2,34,33,9,-1.0,-2.0,0.0,-2.0,1,0
2949,True,3,20,20,9,2.0,2.0,1.0,0.0,0,1
2950,False,1,32,10,8,-5.0,-4.0,-1.0,0.0,1,0
2951,True,3,19,9,6,4.0,4.0,0.0,2.0,0,1
2952,True,2,25,18,4,1.0,2.0,1.0,1.0,1,0
2953,False,1,27,34,2,-2.0,-2.0,-1.0,0.0,0,1
2954,True,1,35,19,12,1.0,2.0,1.0,1.0,1,0
2955,False,0,26,27,12,-1.0,-2.0,-1.0,-1.0,0,1
2956,False,1,41,23,9,0.0,0.0,-1.0,1.0,1,0
2957,True,2,16,37,25,0.0,0.0,0.0,0.0,0,1
2958,True,3,34,32,6,2.0,2.0,1.0,0.0,1,0
2959,False,2,42,23,4,0.0,-2.0,-2.0,-1.0,0,1
2960,True,4,40,35,21,-2.0,2.0,3.0,3.0,1,0
2961,False,3,36,36,8,-3.0,-2.0,-1.0,0.0,0,1
2962,True,2,19,35,4,4.0,4.0,1.0,1.0,1,0
2963,False,0,45,26,2,-4.0,-3.0,-4.0,0.0,0,1
2964,False,1,26,28,4,-1.0,-2.0,0.0,-2.0,1,0
2965,True,2,36,32,2,0.0,2.0,1.0,2.0,0,1
2966,True,5,25,39,4,3.0,4.0,2.0,1.0,1,0
